,Rat,Day,Shank,Id,Region,Type,SessID,NREM,REM,WAKE_HOMECAGE,SLEEP,tot_spikes,MRL_sigma,pvalue_sigma,mod_sigma,MRL_theta,pvalue_theta,mod_theta,MRL_beta,pvalue_beta,mod_beta,MRL_low_gamma,pvalue_low_gamma,mod_low_gamma,MRL_mid_gamma,pvalue_mid_gamma,mod_mid_gamma,MRL_high_gamma,pvalue_high_gamma,mod_high_gamma
0,8,1,4,2,Hpc,Pyr,0,0.9142463695543316,2.0332610267534346,0.5882979478804232,1.0793938747198806,18862,0.33070167773215686,1.0717875815612846e-139,True,0.340661861134208,2.740004773087823e-147,True,0.02150556246944225,0.27242675309094677,False,0.025053367026079833,0.17122929589457106,False,0.04996601897365649,0.0008912440773541611,False,0.06817782852098042,2.0804946146664332e-06,True
1,8,1,4,3,Hpc,Pyr,1,0.7167000500751126,0.67823571945047,0.7610831025586405,0.7110233699711878,17550,0.2030335212804292,1.4802295560244992e-17,True,0.2554194848946269,1.1742847881119771e-27,True,0.08887334615795336,0.0005992375615448463,False,0.05317380125995007,0.07046265120901801,False,0.0627424104338471,0.02485648216855653,False,0.04878739536175884,0.1072325739910495,False
2,8,1,4,4,Hpc,Int,2,0.4092388582874312,0.3210412147505423,0.3156287722786338,0.3962223882189734,7787,0.3068299038528844,1.4555774278652472e-19,True,0.3385189057356856,1.4789101207919775e-23,True,0.07949450477858507,0.0603364097418784,False,0.09230090370119796,0.022657713406287677,False,0.11440967630589281,0.0029560968394568344,False,0.14928693121737757,4.821882599174099e-05,False
3,8,1,4,5,Hpc,Pyr,3,1.1397095643465198,0.4757772957339118,1.2576629032639828,1.0417244691068188,25491,0.07118340987994,0.03595987602631358,False,0.00824866224611907,0.9562450507139335,False,0.07935235344335768,0.015808559531656875,False,0.038747413633772404,0.3725245132795492,False,0.032955480735454935,0.48944346980501924,False,0.03344042416063387,0.4793062160629173,False
4,8,1,4,6,Hpc,Pyr,4,0.3908362543815724,0.3130874909616775,0.5904281758148122,0.3793618610607192,11132,0.07601776479594002,0.082683965753806,False,0.07785897616498591,0.072525125108362,False,0.025487957038100795,0.7550486277530966,False,0.06061193833550573,0.20363219815342132,False,0.05674879093298923,0.24819107691542178,False,0.0682092292622803,0.13339845842024406,False
5,8,1,4,7,Hpc,Pyr,5,3.666875312969454,2.67823571945047,3.012970721200502,3.520968946750614,80059,0.10035931646927058,4.92938501548892e-17,True,0.10873031085279332,8.027364707751207e-20,True,0.02417264822457623,0.11484406577090836,False,0.022026458335902114,0.16580037321368157,False,0.0406767438620363,0.002174905480388589,False,0.04019419461909905,0.002512491915934916,False
6,8,1,4,8,Hpc,Pyr,6,4.085002503755633,5.099783080260304,4.528391204525551,4.234766833849109,103801,0.07086685310152052,4.1146236554456794e-16,True,0.08773258830892994,2.456423591689599e-24,True,0.05424302017382208,9.56507332445711e-10,True,0.007693958948243001,0.6587490731359327,False,0.018226347301520226,0.09600600840280041,False,0.021479445553642614,0.03860787281850186,False
7,8,1,4,9,Hpc,Pyr,7,6.3487731597396095,5.898047722342733,6.223224218324694,6.282253761604951,138052,0.008820378335461268,0.5301392529631958,False,0.01616450910261539,0.11868796757617961,False,0.024136903449096043,0.008626846120580412,False,0.018193795918062552,0.06720459717509794,False,0.0025186880926653904,0.9495775891100823,False,0.009651400275066432,0.4677744792863477,False
8,8,1,4,10,Hpc,Pyr,8,8.32035553329995,8.692697035430225,3.4225662145849607,8.375306797566962,131669,0.1422612908383129,1.7468261987670143e-107,True,0.15645735502269326,1.5201841225380624e-129,True,0.021934361126303332,0.0030754033184095192,False,0.007196914926566531,0.5365169178309377,False,0.014107084860272488,0.09138610753713851,False,0.019640552893380545,0.009680417523827145,False
9,8,1,5,2,CeCM,Pyr,9,0.8164747120681022,0.8467100506146059,0.0508887784326256,0.8209369330914523,9439,0.1535223686228739,8.710186223914532e-13,True,0.07427635218426777,0.001555190552533501,False,0.021174810988066332,0.5916394661500243,False,0.06158373411705372,0.011748157721508699,False,0.05287959610628579,0.03780956545792836,False,0.10429216163999948,2.862042563581794e-06,True
