,Rat,Day,Shank,Id,Region,Type,SessID,NREM,REM,WAKE_HOMECAGE,SLEEP,tot_spikes,MRL_sigma,pvalue_sigma,mod_sigma,MRL_theta,pvalue_theta,mod_theta,MRL_beta,pvalue_beta,mod_beta,MRL_low_gamma,pvalue_low_gamma,mod_low_gamma,MRL_mid_gamma,pvalue_mid_gamma,mod_mid_gamma,MRL_high_gamma,pvalue_high_gamma,mod_high_gamma
0,8,1,4,2,Hpc,Pyr,0,0.9142463695543316,2.0332610267534346,0.5882979478804232,1.0793938747198806,18862,0.21027633525143424,1.421805786734819e-96,True,0.12318796734314598,1.2513929203871733e-33,True,0.048012785283233106,1.0489596624825327e-05,True,0.04202886347891091,0.00015316930820589975,False,0.0371090434586602,0.0010623498747264464,False,0.05394239937933632,5.181186918978636e-07,True
1,8,1,4,3,Hpc,Pyr,1,0.7167000500751126,0.67823571945047,0.7610831025586405,0.7110233699711878,17550,0.03432030906979084,0.0005090382877748196,False,0.028041871007574,0.0063575813026861975,False,0.023453887280202576,0.029072246590545393,False,0.025658057755949665,0.014492714367561159,False,0.03072490267850157,0.0023056640982043806,False,0.040139107105622324,3.150771346150999e-05,False
2,8,1,4,4,Hpc,Int,2,0.4092388582874312,0.3210412147505423,0.3156287722786338,0.3962223882189734,7787,0.014494606720234992,0.5710554602764297,False,0.07113905003709049,1.3476755421643636e-06,True,0.024728897988956555,0.19577557789876052,False,0.05166574031023654,0.0008064085289435171,False,0.06552027850426449,1.0544956271558703e-05,True,0.09949771212779633,3.216802642157281e-12,True
3,8,1,4,5,Hpc,Pyr,3,1.1397095643465198,0.4757772957339118,1.2576629032639828,1.0417244691068188,25491,0.08493949136020794,5.455082432815818e-34,True,0.12714815148173733,1.076678998213968e-75,True,0.033141985994990096,8.502852612335415e-06,True,0.015849911653472073,0.06926762737215125,False,0.011435197953270144,0.24916302767126533,False,0.0221002494779797,0.005567447910498763,False
4,8,1,4,6,Hpc,Pyr,4,0.3908362543815724,0.3130874909616775,0.5904281758148122,0.3793618610607192,11132,0.09913532682346662,5.092476599451088e-22,True,0.14248913286527465,5.786991979421143e-45,True,0.01843076213882503,0.18364496672519476,False,0.005080330039391693,0.8792015857666932,False,0.014574861714404131,0.34652297333900495,False,0.02788670907643239,0.020644459362925614,False
5,8,1,4,7,Hpc,Pyr,5,3.666875312969454,2.67823571945047,3.012970721200502,3.520968946750614,80059,0.04897062992028365,3.020928841637206e-27,True,0.09421603855047626,4.085046441872544e-99,True,0.0251505382624174,1.0116873731368923e-07,True,0.01502121657320966,0.0031997306869353853,False,0.01466608137829222,0.00418556673873444,False,0.023330368704644253,9.568216735466954e-07,True
6,8,1,4,8,Hpc,Pyr,6,4.085002503755633,5.099783080260304,4.528391204525551,4.234766833849109,103801,0.020356116104519786,1.3112578471767902e-07,True,0.06319850234529148,3.474594100681133e-67,True,0.037517629331607745,3.995112053426533e-24,True,0.015811274993956865,7.004639826744188e-05,False,0.014508781415429209,0.0003174500558585115,False,0.013515210030406472,0.0009213889472017746,False
7,8,1,4,9,Hpc,Pyr,7,6.3487731597396095,5.898047722342733,6.223224218324694,6.282253761604951,138052,0.06428306251057826,4.9094822241752124e-95,True,0.120348700025488,0.0,True,0.02218513428093499,5.737847376200858e-12,True,0.014381398861229012,1.8899902863703793e-05,True,0.015991919670407573,1.4430299391834424e-06,True,0.020199090974819072,4.800547885019651e-10,True
8,8,1,4,10,Hpc,Pyr,8,8.32035553329995,8.692697035430225,3.4225662145849607,8.375306797566962,131669,0.0720692915232651,5.132573851618792e-66,True,0.08597660564319448,9.212909923485933e-94,True,0.0422180430810027,4.0258184702729683e-23,True,0.01664392845799729,0.0003315152079378724,False,0.011223307465435654,0.026176686233828128,False,0.010342351713909194,0.045345975773763404,False
9,8,1,5,2,CeCM,Pyr,9,0.8164747120681022,0.8467100506146059,0.0508887784326256,0.8209369330914523,9439,0.05976627813979109,0.21537695340186416,False,0.05187494016716768,0.31459471879910283,False,0.028007979316833256,0.7139012222002443,False,0.07207247955799913,0.10715955990490861,False,0.079211353150199,0.06725424712956482,False,0.0931758140339366,0.023820058285520456,False
10,8,1,5,3,CeCM,Int,10,1.597896845267902,2.8951554591467823,1.444176193519373,1.7893501227190267,47131,0.06954492920735417,2.3493015764168387e-26,True,0.025590227376823222,0.00033819116754669614,False,0.028372615823944854,5.408606352258232e-05,False,0.027128543772947523,0.0001256502707880779,False,0.03205989826861377,3.56281865595531e-06,True,0.05043320483846408,3.259075003013277e-14,True
11,8,1,5,4,CeCM,Pyr,11,1.7090635953930895,1.529284164859002,0.2600061539918105,1.6825312133176822,29155,0.06058754396230075,0.0003125538872901104,False,0.049048075892786945,0.0050564816509518894,False,0.03696758910431578,0.049652069405211045,False,0.05014901096575051,0.003977720593421008,False,0.0818273606404379,4.007770790371658e-07,True,0.13374362765715042,7.335683983710275e-18,True
12,8,1,5,5,CeCM,Pyr,12,0.4364046069103655,0.561822125813449,0.0508887784326256,0.4549140966812506,5382,0.023970093033984816,0.7811651299861815,False,0.08189760496349627,0.05580111941642607,False,0.0467879289168829,0.39033911605765204,False,0.11612929399833934,0.0029917264093371992,False,0.1687290129051688,4.4887524447616884e-06,True,0.24196855827756567,8.293463245249528e-12,True
13,8,1,5,6,CeCM,Pyr,13,0.3699298948422634,0.2378886478669559,0.0094676797083954,0.3504428556183971,3853,0.0405441227754705,0.8775009875508692,False,0.20156681213751443,0.03827425930946551,False,0.07684534410697617,0.6248752446673066,False,0.060253974095929023,0.7490756307936839,False,0.07055091844193276,0.6729377257846865,False,0.1818354564193936,0.0705605192184713,False
14,8,1,5,7,CeCM,Int,14,0.4460440660991487,0.1214750542299349,0.7007266444176194,0.398143207768648,11053,0.02456442554965912,0.028085130997661727,False,0.06085986266691903,2.939998625828459e-10,True,0.0229624482322553,0.044062261389765746,False,0.059217238587854604,9.452331297902065e-10,True,0.09718140654267313,4.555067434082765e-25,True,0.17139161784662277,8.418111680039021e-77,True
15,8,1,5,8,CeCM,Pyr,15,0.471457185778668,1.200289226319595,0.0080475277521361,0.579020382029666,6353,0.26396559300750827,0.008438297736588222,False,0.12380234072626803,0.35394146403208837,False,0.20785345507048542,0.05239494633384218,False,0.2154222722432972,0.04200910522430774,False,0.10975147027459226,0.44226943903486493,False,0.18165390551021227,0.10592349537072213,False
16,8,1,5,9,CeCM,Pyr,16,0.67864296444667,1.0180766449746927,0.0884044592771426,0.728737594707075,8961,0.015251600997727769,0.8406536194050384,False,0.006827680064845535,0.9657953837729499,False,0.06384769209670742,0.04752913999878403,False,0.036646159171116695,0.366869044480602,False,0.09674961131321039,0.0009080261150308164,False,0.17248006847530656,1.9256382883440065e-10,True
17,8,1,5,10,CeCM,Pyr,17,0.9181271907861792,1.0578452639190166,0.1171625363913938,0.9387471988048234,11255,0.04201093372264031,0.1742942588806859,False,0.02624889482209568,0.5056596069392816,False,0.034518558797205445,0.30747442354118065,False,0.03018774804467581,0.4057690392999096,False,0.04449213010808104,0.14085851035721275,False,0.07224849323305542,0.005677025874752308,False
18,8,1,5,11,CeCM,Pyr,18,0.4399098647971958,0.527114967462039,0.1258017941253047,0.4527798527371678,6369,0.0297136174110909,0.3910724086130962,False,0.029475320765738958,0.3972065559188342,False,0.06127426442373677,0.018439993201368066,False,0.044519359191826265,0.1216316227083209,False,0.05833274982080679,0.026827738627682313,False,0.1479432281700205,7.005231802972989e-11,True
19,8,1,5,12,CeCM,Int,19,2.916374561842764,3.515545914678236,3.735709720940141,3.0048020488741862,89461,0.011056757149938088,0.021069875431713563,False,0.01589750059193822,0.00034281623280039796,False,0.016483549330779935,0.00018834704490469227,False,0.04963853798460952,1.58722113197802e-34,True,0.08839576993084615,4.721053476032848e-108,True,0.16201539541434998,0.0,True
20,8,1,5,13,CeCM,Pyr,20,1.3550325488232349,5.339840925524222,9.234656441572582,1.943122398890193,153183,0.011118161337893598,6.463018631451068e-05,False,0.015741149123822264,4.003423169477229e-09,True,0.015597500369806058,5.690096474906462e-09,True,0.05738999979370819,1.9655086555238386e-112,True,0.10698151570013541,0.0,True,0.18229644997549296,0.0,True
21,8,1,5,14,CeCM,Pyr,21,4.761141712568853,2.7707881417208964,13.694643660204976,4.467399423754135,177029,0.014130545502863412,9.20506701371051e-11,True,0.015168858277947105,2.7271482721349052e-12,True,0.017676217029600115,1.9794038145271216e-16,True,0.04720550754397995,8.932474690693068e-113,True,0.09064709489715295,0.0,True,0.14959240460519957,0.0,True
