Rat,Day,Shank,Id,Region,Type,SessID,NREM,REM,WAKE_HOMECAGE,SLEEP,tot_spikes,pInc,pDec,surprise,delta_NREM,delta_REM,delta_WAKE_HOMECAGE
8,1,4,2,Hpc,Pyr,0,0.8733333333333333,1.995635910224439,0.6045551995205054,1.038426265590609,18862,0.0,1.0,36.04365338911715,-0.22223517,0.5500377,
8,1,4,3,Hpc,Pyr,1,0.7254838709677419,0.6589775561097256,0.7492104474515319,0.7157006603081438,17550,0.9992813137670737,0.000797622987182524,-7.133155574680515,0.04860574,0.14335795,
8,1,4,4,Hpc,Int,2,0.3987096774193548,0.3048628428927681,0.33495470158371565,0.3849046221570066,7787,0.9999999997623791,3.1274154090035444e-10,-21.885643304196872,-0.50761616,-0.10228093,
8,1,4,5,Hpc,Pyr,3,1.1180645161290323,0.5174563591022444,1.2782682864980752,1.0297138664710197,25491,1.0,5.425785907957423e-143,-36.04365338911715,-0.06445363,0.27296203,
8,1,4,6,Hpc,Pyr,4,0.3844086021505376,0.314214463840399,0.5869199382189539,0.3740829053558327,11132,0.9999986899060035,1.6159594566446403e-06,-13.335580376657836,-0.408302,0.059028614,
8,1,4,7,Hpc,Pyr,5,3.6549462365591396,2.6496259351620948,3.0606975725581504,3.507061628760088,80059,1.0,5.519202951098104e-109,-36.04365338911715,0.028263174,0.8935808,
8,1,4,8,Hpc,Pyr,6,4.013118279569892,4.908354114713217,4.586551096152516,4.144809244314013,103801,0.0,1.0,36.04365338911715,-0.33805102,0.17453033,
8,1,4,9,Hpc,Pyr,7,6.269139784946237,5.675187032418953,6.215334608912147,6.181768158473955,138052,1.0,2.45761629098377e-22,-36.043652282305786,0.17395093,0.20061411,
8,1,4,10,Hpc,Pyr,8,8.126021505376345,8.25498753117207,3.4076396413010905,8.144992663242848,131669,0.03559559400634538,0.9650817109483655,3.299990905980281,0.53586894,0.21060577,
8,1,5,2,CeCM,Pyr,9,0.7998924731182796,0.8192019950124688,0.05417367850803385,0.8027329420396185,9439,0.19709967648495175,0.8104951712855708,1.4139358106775897,0.92157906,0.6794318,
8,1,5,3,CeCM,Int,10,1.7009677419354838,3.092269326683292,1.4148551142257775,1.9056309611151871,47131,0.0,1.0,36.04365338911715,-0.058510125,0.47669607,
8,1,5,4,CeCM,Pyr,11,1.6558064516129032,1.4806733167082293,0.2610710251504184,1.63004402054292,29155,0.9999999863740292,1.5288885780874905e-08,-17.996139663919966,0.36198816,-0.96463335,
8,1,5,5,CeCM,Pyr,12,0.41935483870967744,0.5486284289276808,0.049908942114848205,0.4383712399119589,5382,1.2878587085651816e-14,0.9999999999999902,31.966115945211428,0.3329219,-0.8766932,
8,1,5,6,CeCM,Pyr,13,0.35870967741935483,0.21321695760598502,0.010143156827036124,0.33730741012472487,3853,1.0,4.331995840502288e-26,-36.04365338892206,0.5184222,0.1754386,
8,1,5,7,CeCM,Int,14,0.47559139784946236,0.128428927680798,0.6836257175130824,0.424523110785033,11053,1.0,7.406166791984954e-127,-36.04365338911715,0.10953173,0.13510074,
