Rat,Day,Shank,Id,Region,Type,SessID,NREM,REM,WAKE_HOMECAGE
8,1,11,9,DEn,Pyr,94,-0.27972355,-0.09199923,
8,1,11,10,DEn,Pyr,95,-0.035053153,-0.5584511,
8,1,11,11,DEn,Pyr,96,-1.0901902,0.30424976,
8,1,11,12,DEn,Pyr,97,0.7733556,-0.41029528,
8,1,12,2,Pir,Pyr,98,-0.04018241,0.34962273,
8,1,12,3,Pir,Int,99,0.88890326,0.29889804,
8,1,12,4,Pir,Pyr,100,0.3351509,-0.65433806,
8,1,12,5,Pir,Int,101,-0.115252495,-0.19621556,
8,1,13,2,CeCM,Pyr,102,0.42330894,-0.5782304,
8,1,13,3,CeCM,Int,103,-0.7705729,-0.67607,
8,1,13,4,CeCM,Pyr,104,-0.4904235,0.19483803,
8,1,13,5,CeCM,Pyr,105,-0.3926584,0.9084081,
8,1,13,6,CeCM,Int,106,0.24468449,-0.49818385,
8,1,13,7,CeCM,Pyr,107,-0.07536057,0.049949378,
8,1,13,8,CeCM,Pyr,108,-0.20258197,-0.09942198,
8,1,13,9,CeCM,Pyr,109,0.24435757,0.20853917,
8,1,13,10,CeCM,Pyr,110,0.23668322,0.20239325,
8,1,14,2,CeCM,Pyr,111,0.14815474,-0.5380577,
8,1,14,3,CeCM,Pyr,112,0.5353054,0.43657055,
8,1,14,4,CeCM,Pyr,113,0.15724772,0.037817776,
8,1,14,5,CeCM,Pyr,114,0.17811641,0.15556,
8,1,14,6,CeCM,Pyr,115,0.1441264,-0.32215145,
8,1,14,7,CeCM,Pyr,116,0.0,-0.47387776,
8,1,14,8,CeCM,Pyr,117,-0.42788732,1.4901161e-08,
8,1,14,9,CeCM,Pyr,118,0.09435929,-0.24490304,
8,1,14,10,CeCM,Pyr,119,0.0,0.0,
8,1,14,11,CeCM,Pyr,120,-0.13708061,0.0,
8,1,14,12,CeCM,Pyr,121,-0.1219066,0.36767358,
8,1,14,13,CeCM,Pyr,122,0.015423715,-0.9509684,
8,1,14,14,CeCM,Pyr,123,-0.4766181,-0.2871269,
8,1,14,15,CeCM,Pyr,124,-0.30539736,-0.4855193,
8,1,15,2,CeCM,Pyr,125,0.21278965,-0.38021725,
8,1,15,3,CeCM,Pyr,126,-0.24294427,0.03910634,
8,1,15,4,CeCM,Pyr,127,-0.72759414,0.12885135,
8,1,15,5,CeCM,Pyr,128,-0.42788985,-0.039612383,
8,1,15,6,CeCM,Pyr,129,0.3749298,0.33095723,
8,1,15,7,CeCM,Pyr,130,0.21495028,-0.17202023,
8,1,15,8,CeCM,Pyr,131,0.11154997,-0.2961134,
8,1,15,9,CeCM,Pyr,132,2.9802322e-08,-0.6144699,
8,1,15,10,CeCM,Pyr,133,0.5048242,0.93130666,
8,1,15,11,CeCM,Pyr,134,-0.3894662,-0.2611507,
8,1,16,2,None,Unk,135,0.5167332,-0.4042299,
8,1,17,2,LaDL,Pyr,136,0.40975276,-0.48966387,
8,1,17,3,LaDL,Pyr,137,0.37012428,-0.466187,
8,1,17,4,LaDL,Pyr,138,0.090360045,0.33706313,
8,1,18,2,LaDL,Pyr,139,-0.13462813,-0.22768423,
8,1,18,3,LaDL,Pyr,140,0.3645374,-0.3959214,
8,1,18,4,LaDL,Pyr,141,0.11547766,0.30204815,
8,1,18,5,LaDL,Pyr,142,0.16466117,0.04089558,
8,1,18,6,LaDL,Pyr,143,0.29076046,0.40580368,
8,1,18,7,LaDL,Pyr,144,-0.39245266,-0.9459225,
8,1,18,8,LaDL,Pyr,145,0.14016078,0.0,
8,1,18,9,LaDL,Pyr,146,-0.030577883,0.3589742,
8,1,18,10,LaDL,Pyr,147,0.092389435,-0.34357378,
8,1,18,11,LaDL,Pyr,148,-0.040452212,0.34590352,
8,1,19,2,LaDL,Pyr,149,-0.4197052,-0.8148697,
8,1,19,3,LaDL,Pyr,150,0.20843522,-0.13193873,
8,1,19,4,LaDL,Pyr,151,0.18695115,0.26050043,
8,1,19,5,LaDL,Pyr,152,0.0,0.065975666,
8,1,19,6,LaDL,Pyr,153,3.7252903e-09,0.1747697,
8,1,19,7,LaDL,Pyr,154,0.29125875,-0.38399452,
8,1,19,8,LaDL,Pyr,155,0.18727738,0.0,
8,1,19,9,LaDL,Pyr,156,-1.4291285,-0.058763802,
8,1,19,10,LaDL,Pyr,157,-0.40232563,-0.05006945,
8,1,19,11,LaDL,Pyr,158,-0.08827017,-0.29030037,
8,1,19,12,LaDL,Pyr,159,0.3644902,-0.5881589,
8,1,19,13,LaDL,Pyr,160,0.6398894,1.1550331,
8,1,20,2,None,Pyr,161,-0.7355175,0.66019255,
8,1,20,3,None,Unk,162,0.0,0.0,
8,1,20,4,None,Unk,163,0.20154198,0.43225402,
8,1,20,5,None,Unk,164,-0.07645412,0.55260473,
8,1,20,6,None,Int,165,0.090054795,-0.21102607,
8,2,2,2,Hpc,Pyr,0,-0.6282113790512085,-0.2888763844966888,
8,2,2,3,Hpc,Pyr,1,-0.0480502843856811,0.3094033598899841,
8,2,2,4,Hpc,Pyr,2,-0.4352743923664093,-0.3509275913238525,
8,2,2,5,Hpc,Int,3,-0.5230193734169006,-0.6880552768707275,
8,2,2,6,Hpc,Pyr,4,-0.2415002882480621,-0.3776791095733642,
8,2,3,2,Hpc,Pyr,5,0.1914489269256591,0.0610215738415718,
8,2,3,3,Hpc,Pyr,6,0.0449362397193908,0.0110687464475631,
8,2,3,4,Hpc,Pyr,7,-0.2954662144184112,-0.2853907942771911,
8,2,3,5,Hpc,Pyr,8,0.3654443621635437,-0.8978922367095947,
8,2,3,6,Hpc,Pyr,9,0.2479407638311386,0.0,
8,2,3,7,Hpc,Pyr,10,0.0803003162145614,0.079972930252552,
8,2,3,8,Hpc,Pyr,11,-0.355702668428421,0.3691278994083404,
8,2,3,9,Hpc,Pyr,12,0.0911216288805008,0.209131047129631,
8,2,3,10,Hpc,Pyr,13,-0.1001630276441574,-0.1180924028158187,
8,2,3,11,Hpc,Pyr,14,0.2547942698001861,-0.1239417195320129,
8,2,3,12,Hpc,Pyr,15,0.108199343085289,-0.2450097352266311,
8,2,3,13,Hpc,Int,16,0.1159508228302002,-0.3828334212303161,
8,2,3,14,Hpc,Pyr,17,0.1825673282146453,0.3145577609539032,
8,2,3,15,Hpc,Pyr,18,-0.2385432869195938,-0.3885574042797088,
8,2,3,16,Hpc,Pyr,19,0.3040013909339905,-0.0808698609471321,
8,2,3,17,Hpc,Pyr,20,-0.1332087814807891,-0.35030597448349,
8,2,3,18,Hpc,Pyr,21,-0.7400421500205994,-0.3838169574737549,
8,2,3,19,Hpc,Pyr,22,0.2512941360473633,-0.1505070477724075,
8,2,4,2,Hpc,Int,23,-0.0263696014881134,-0.1030425578355789,
8,2,4,3,Hpc,Pyr,24,0.1698774844408035,0.1487870812416076,
8,2,4,4,Hpc,Pyr,25,0.2067391872406005,-0.1611869931221008,
8,2,4,5,Hpc,Pyr,26,0.0433970838785171,0.097895510494709,
8,2,4,6,Hpc,Pyr,27,0.3656663000583648,0.0026613548398017,
8,2,4,7,Hpc,Int,28,-0.2035121023654937,-0.0411424934864044,
8,2,4,8,Hpc,Int,29,-0.6834107637405396,-0.2844428420066833,
8,2,4,9,Hpc,Pyr,30,-0.4936553239822387,0.0327370017766952,
8,2,4,10,Hpc,Pyr,31,0.2377598583698272,0.2408496439456939,
8,2,4,11,Hpc,Pyr,32,0.0123529136180877,-0.007132351398468,
8,2,4,12,Hpc,Int,33,-0.1837177276611328,-0.6047747135162354,
8,2,5,2,CeCM,Pyr,34,-0.0491700321435928,0.4829931855201721,
8,2,5,3,CeCM,Pyr,35,0.488016664981842,0.0968691259622573,
8,2,5,4,CeCM,Pyr,36,0.558910608291626,-0.8324757814407349,
8,2,5,5,CeCM,Pyr,37,0.161220371723175,0.5516916513442993,
8,2,5,6,CeCM,Pyr,38,-0.3355752527713775,0.0437427535653114,
8,2,5,7,CeCM,Pyr,39,0.1428290903568267,0.1337160170078277,
8,2,5,8,CeCM,Pyr,40,0.5661584138870239,0.2262312918901443,
8,2,5,9,CeCM,Pyr,41,-0.40240079164505,0.5368781685829163,
8,2,5,10,CeCM,Int,42,0.5616872310638428,0.5317034125328064,
8,2,5,11,CeCM,Pyr,43,-0.4480338096618652,-0.1682503521442413,
8,2,5,12,CeCM,Pyr,44,0.288224458694458,0.256424605846405,
8,2,5,13,CeCM,Pyr,45,-0.7975653409957886,-0.1520254462957382,
8,2,5,14,CeCM,Pyr,46,0.0263756681233644,-0.2335570752620697,
8,2,6,2,BLA,Pyr,47,-0.3487813174724579,0.1362323760986328,
8,2,6,3,BLA,Pyr,48,-0.0790828987956047,0.4287956953048706,
8,2,6,4,BLA,Pyr,49,-0.5836691856384277,0.362663984298706,
8,2,6,5,BLA,Pyr,50,0.607771635055542,0.4633541107177734,
8,2,6,6,BLA,Pyr,51,-0.1837173104286193,-0.0407109484076499,
8,2,6,7,BLA,Pyr,52,-0.2362341582775116,-0.0234515629708766,
8,2,6,8,BLA,Int,53,-0.2715152502059936,-0.1934701204299926,
8,2,6,9,BLA,Int,54,0.1201902255415916,0.318007230758667,
8,2,6,10,BLA,Int,55,-0.5808514356613159,-0.422776848077774,
