Rat,Day,Shank,Id,Region,Type,SessID,NREM,REM,WAKE_HOMECAGE,SLEEP,tot_spikes
8,1,4,2,Hpc,Pyr,0,0.9142463695543316,2.0332610267534346,0.5882979478804232,1.0793938747198806,18862
8,1,4,3,Hpc,Pyr,1,0.7167000500751126,0.67823571945047,0.7610831025586405,0.7110233699711878,17550
8,1,4,4,Hpc,Int,2,0.4092388582874312,0.3210412147505423,0.3156287722786338,0.3962223882189734,7787
8,1,4,5,Hpc,Pyr,3,1.1397095643465198,0.4757772957339118,1.2576629032639828,1.0417244691068188,25491
8,1,4,6,Hpc,Pyr,4,0.3908362543815724,0.3130874909616775,0.5904281758148122,0.3793618610607192,11132
8,1,4,7,Hpc,Pyr,5,3.666875312969454,2.67823571945047,3.012970721200502,3.520968946750614,80059
8,1,4,8,Hpc,Pyr,6,4.085002503755633,5.099783080260304,4.528391204525551,4.234766833849109,103801
8,1,4,9,Hpc,Pyr,7,6.3487731597396095,5.898047722342733,6.223224218324694,6.282253761604951,138052
8,1,4,10,Hpc,Pyr,8,8.32035553329995,8.692697035430225,3.4225662145849607,8.375306797566962,131669
8,1,5,2,CeCM,Pyr,9,0.8164747120681022,0.8467100506146059,0.0508887784326256,0.8209369330914523,9439
8,1,5,3,CeCM,Int,10,1.597896845267902,2.8951554591467823,1.444176193519373,1.7893501227190267,47131
8,1,5,4,CeCM,Pyr,11,1.7090635953930895,1.529284164859002,0.2600061539918105,1.6825312133176822,29155
8,1,5,5,CeCM,Pyr,12,0.4364046069103655,0.561822125813449,0.0508887784326256,0.4549140966812506,5382
8,1,5,6,CeCM,Pyr,13,0.3699298948422634,0.2378886478669559,0.0094676797083954,0.3504428556183971,3853
8,1,5,7,CeCM,Int,14,0.4460440660991487,0.1214750542299349,0.7007266444176194,0.398143207768648,11053
8,1,5,8,CeCM,Pyr,15,0.471457185778668,1.200289226319595,0.0080475277521361,0.579020382029666,6353
8,1,5,9,CeCM,Pyr,16,0.67864296444667,1.0180766449746927,0.0884044592771426,0.728737594707075,8961
8,1,5,10,CeCM,Pyr,17,0.9181271907861792,1.0578452639190166,0.1171625363913938,0.9387471988048234,11255
8,1,5,11,CeCM,Pyr,18,0.4399098647971958,0.527114967462039,0.1258017941253047,0.4527798527371678,6369
8,1,5,12,CeCM,Int,19,2.916374561842764,3.515545914678236,3.735709720940141,3.0048020488741862,89461
8,1,5,13,CeCM,Pyr,20,1.3550325488232349,5.339840925524222,9.234656441572582,1.943122398890193,153183
8,1,5,14,CeCM,Pyr,21,4.761141712568853,2.7707881417208964,13.694643660204976,4.467399423754135,177029
8,1,5,15,CeCM,Pyr,22,1.5518277416124189,1.7584960231381055,2.634973608842813,1.5823284601429943,40566
8,1,5,16,CeCM,Int,23,2.1420881321982974,3.036153289949385,0.2813084333357002,2.274036922420233,51517
8,1,5,17,CeCM,Int,24,0.7381071607411117,1.475054229934924,1.0215626405358709,0.8468679970120585,17702
8,1,5,18,CeCM,Pyr,25,1.7776664997496243,2.933477946493131,0.7069989822244314,1.948244584355992,43028
8,1,6,2,CeCM,Pyr,26,0.3317476214321482,0.187997107736804,0.0952685270657293,0.3105324938640487,4679
8,1,6,3,CeCM,Pyr,27,0.7824236354531797,0.4360086767895879,0.9358801391748918,0.7312986874399744,18103
8,1,6,4,CeCM,Pyr,28,0.2059339008512769,0.3998553868402024,0.0893512272479822,0.2345534094547006,3877
8,1,6,5,CeCM,Pyr,29,0.3343765648472709,0.1489515545914678,0.1244999881654003,0.307010991356312,4637
8,1,6,6,CeCM,Pyr,30,1.1693790686029044,1.740419378163413,0.5145683921512936,1.253654892754242,19814
8,1,6,7,CeCM,Pyr,31,0.6644967451176765,1.2067968185104845,0.1249733721508201,0.7445309998932877,10365
8,1,6,8,CeCM,Int,32,0.1204306459689534,0.1619667389732465,0.1340860138701508,0.1265606658841105,3115
8,1,6,9,CeCM,Pyr,33,3.921006509764647,4.355025307302965,4.274539042344198,3.98506029239142,103792
8,1,6,10,CeCM,Pyr,34,0.7995743615423134,0.514822848879248,0.2232005491254231,0.7575498879521929,10567
8,1,6,11,CeCM,Int,35,0.6553580370555834,0.8763557483731019,0.8570617056024995,0.6879735353750934,17417
8,1,6,12,CeCM,Pyr,36,1.1100400600901352,0.6341287057122198,1.7427631423228953,1.0398036495571443,44288
8,1,6,13,CeCM,Pyr,37,1.1005257886830246,1.3123644251626898,0.4088854174063291,1.1317895635471134,18243
8,1,6,14,CeCM,Pyr,38,4.877941912869304,7.645697758496023,7.216028781746314,5.2864155372959125,169722
8,1,7,2,BLA,Pyr,39,0.2250876314471707,0.2545191612436732,0.2291178489431702,0.2294312239889019,7348
8,1,7,3,BLA,Pyr,40,0.4151226840260391,0.5459146782357195,0.1660394328859855,0.4344253548180557,7955
8,1,7,4,BLA,Pyr,41,0.1409614421632448,0.1569052783803326,0.0075741437667163,0.1433144808451606,1679
8,1,7,5,BLA,Pyr,42,0.2686529794692038,0.7932031814895155,0.1791758384813842,0.3460676555330274,7515
8,1,7,6,BLA,Pyr,43,0.1472208312468703,0.398409255242227,0.0179885914459513,0.1842919645715505,2244
8,1,7,7,BLA,Pyr,44,0.4379068602904356,0.9248011569052784,0.847594025894104,0.5097641660441788,15545
8,1,7,8,BLA,Pyr,45,0.1281922884326489,0.2024584237165582,0.0453265166039432,0.1391527051541991,2150
8,1,7,9,BLA,Pyr,46,0.1039058587881822,0.1294287780187997,0.0029586499088735,0.1076726069789777,1146
8,1,7,10,BLA,Pyr,47,0.3262393590385578,0.2161966738973246,0.3293569078558073,0.3099989328780279,6540
8,1,7,11,BLA,Pyr,48,0.4133700550826239,1.4989154013015185,0.7544557267627637,0.5735780599722549,17540
8,1,7,12,BLA,Pyr,49,0.3277416124186279,0.4085321764280549,0.3997727756869985,0.339664923700779,8309
8,1,7,13,BLA,Pyr,50,1.5070105157736604,2.8105567606652206,1.5360126866908097,1.6993917404759364,40802
8,1,7,14,BLA,Pyr,51,0.3882073109664496,0.1576283441793203,0.2125494094534782,0.3541777825205421,18414
8,1,7,15,BLA,Pyr,52,0.4406609914872308,0.1070137382501807,0.27148571563824,0.3914203393447871,21915
8,1,7,16,BLA,Pyr,53,0.1463445167751627,0.3485177151120752,0.0323084570048995,0.1761818375840358,3214
8,1,8,2,LaDL,Pyr,54,0.0855032548823234,0.2125813449023861,0.010414447679235,0.1042578166684452,1325
8,1,8,3,LaDL,Pyr,55,0.2391086629944917,0.5827910339840926,0.2884091931169968,0.2898303276064454,7297
8,1,8,4,LaDL,Pyr,56,0.0363044566850275,0.0484454085321764,0.0266278491798622,0.0380962544018781,716
8,1,8,5,LaDL,Pyr,57,0.1260640961442163,0.1901663051337671,0.0874576913063031,0.1355244904492583,3084
8,1,8,6,LaDL,Pyr,58,0.3471457185778668,0.4186550976138828,0.221188667187389,0.3576992850282787,6465
8,1,8,7,LaDL,Pyr,59,0.3065848773159739,0.7744034707158352,0.3034391346540747,0.3756269341585743,8067
8,1,8,8,LaDL,Pyr,60,0.1656234351527291,0.2986261749819233,0.0585812681956969,0.1852523743463878,3636
8,1,8,9,LaDL,Pyr,61,6.335252879318978,8.816341287057122,4.526497668583872,6.701419272222815,135986
8,1,8,10,LaDL,Int,62,3.301201802704056,4.113521330441071,4.292054249804729,3.421086330167538,94390
8,1,8,11,LaDL,Int,63,0.899599399098648,1.3203181489515543,0.791379677625506,0.9616903212037136,21353
8,1,9,2,LaDL,Pyr,64,0.5926389584376565,0.4403470715835141,0.4746857913796776,0.5701632696617224,11762
8,1,9,3,LaDL,Pyr,65,0.3766900350525788,0.8633405639913232,0.4370517645388057,0.4485113648490022,10865
8,1,9,4,LaDL,Pyr,66,0.4689534301452178,0.5365148228488793,0.8099599990532321,0.4789243410521823,15367
8,1,9,5,LaDL,Pyr,67,0.3082123184777166,0.2971800433839479,0.4351582285971266,0.3065841425674954,8749
8,1,9,6,LaDL,Pyr,68,0.7169504256384577,0.6334056399132321,0.6428554522000521,0.7046206381389393,16048
8,1,9,7,LaDL,Pyr,69,0.8656735102653981,0.7469269703543022,0.6750455632085968,0.8481485433785082,25648
8,1,9,8,LaDL,Pyr,70,0.5277916875312969,0.9920462762111352,0.9480697767994508,0.5963077579767367,15953
8,1,9,9,LaDL,Pyr,71,0.8337506259389084,0.5068691250903832,0.8109067670240716,0.7855084836196777,17155
8,1,9,10,LaDL,Pyr,72,0.7334752128192289,1.5336225596529285,1.3045279178205402,0.8515633336890407,23542
8,1,9,11,LaDL,Pyr,73,0.9723335002503756,2.566883586406363,2.796634239863665,1.2076619357592573,43425
8,1,10,2,DEn,Pyr,74,0.1498497746619929,0.1229211858279103,0.0575161542285024,0.1458755735780599,2264
8,1,10,3,DEn,Pyr,75,0.6823985978968453,0.759942154736081,0.8343392743023504,0.693842706221321,18793
8,1,10,4,DEn,Pyr,76,1.5923885828743114,2.1431670281995663,0.9783663518663164,1.6736741009497385,47268
8,1,10,5,DEn,Pyr,77,1.2379819729594392,1.3007953723788863,0.1224881062273663,1.247252160921993,15391
8,1,10,6,DEn,Pyr,78,0.4191286930395593,0.7006507592190889,0.5112547042533552,0.4606765553302742,10702
8,1,10,7,DEn,Pyr,79,0.1398347521281923,0.2176428054953,0.072901133754645,0.1513178956354711,3610
8,1,10,8,DEn,Pyr,80,0.7655232849273911,0.6616052060737527,0.2676986437548818,0.7501867463451073,15542
8,1,10,9,DEn,Int,81,6.495743615423135,6.996384671005061,4.196904068735355,6.569629708675702,131692
8,1,10,10,DEn,Int,82,1.230345518277416,0.6999276934201012,1.6357783616180266,1.1520648810159002,28777
8,1,10,11,DEn,Pyr,83,0.67864296444667,0.3832248734634851,0.6420270302255675,0.6350442855618397,14794
8,1,10,12,DEn,Pyr,84,5.45756134201302,2.247288503253796,0.6352813084333357,4.983779746024971,62089
8,1,10,13,DEn,Pyr,85,2.530796194291437,0.7295733911785972,2.498994059030984,2.264966385657881,54120
8,1,10,14,DEn,Pyr,86,0.9877315973960942,0.794649313087491,1.3292622310587234,0.9592359406680184,27128
8,1,11,2,DEn,Pyr,87,0.2512518778167251,0.1749819233550253,0.0324268030012544,0.2399957315121118,3071
